Jahr;Monat;Branche_Label;BeschaeftigteGesamt;Vollzeitbeschaeftigte;Teilzeitbeschaeftigte;Typ
1994;1;Hotels;106,1;133,1;74,1;Beherbergung
1994;2;Hotels;106,2;132,5;74,8;Beherbergung
1994;3;Hotels;108,6;134,3;77,7;Beherbergung
1994;4;Hotels;110,7;135,9;80,4;Beherbergung
1994;5;Hotels;113,1;138,3;83,2;Beherbergung
1994;6;Hotels;114,1;138,8;84,4;Beherbergung
1994;7;Hotels;113,8;138,4;84,5;Beherbergung
1994;8;Hotels;114,6;140,4;83,5;Beherbergung
1994;9;Hotels;115,4;141;84,8;Beherbergung
1994;10;Hotels;113,3;138,7;83,2;Beherbergung
1994;11;Hotels;109,1;134,1;79,5;Beherbergung
1994;12;Hotels;109;133,2;80;Beherbergung
1994;1;Ferienunterkünfte;104,6;129,8;79,7;Beherbergung
1994;2;Ferienunterkünfte;106,3;128,4;84,8;Beherbergung
1994;3;Ferienunterkünfte;116,3;143,1;91;Beherbergung
1994;4;Ferienunterkünfte;123,4;151,3;98,5;Beherbergung
1994;5;Ferienunterkünfte;127,1;154,3;102,5;Beherbergung
1994;6;Ferienunterkünfte;127,8;156,3;101,7;Beherbergung
1994;7;Ferienunterkünfte;128,3;157;101,1;Beherbergung
1994;8;Ferienunterkünfte;128,9;158,7;100,1;Beherbergung
1994;9;Ferienunterkünfte;128,3;157,5;101,2;Beherbergung
1994;10;Ferienunterkünfte;125,9;153,9;100,7;Beherbergung
1994;11;Ferienunterkünfte;112,7;134,2;92,4;Beherbergung
1994;12;Ferienunterkünfte;109,1;131,8;87,9;Beherbergung
1994;1;Campingplätze;66,2;79,3;54;Beherbergung
1994;2;Campingplätze;66,4;78,5;55,2;Beherbergung
1994;3;Campingplätze;72,5;88,3;57,9;Beherbergung
1994;4;Campingplätze;87;104,3;71,1;Beherbergung
1994;5;Campingplätze;91,9;107,9;76,9;Beherbergung
1994;6;Campingplätze;96,7;110,2;83,7;Beherbergung
1994;7;Campingplätze;99,7;111,8;87,8;Beherbergung
1994;8;Campingplätze;100,1;111,6;88,6;Beherbergung
1994;9;Campingplätze;93,5;109,3;78,6;Beherbergung
1994;10;Campingplätze;82,4;99,3;66,9;Beherbergung
1994;11;Campingplätze;70,6;83,9;58,2;Beherbergung
1994;12;Campingplätze;66,7;78;56,2;Beherbergung
1994;1;Restaurants / Cafe;115,3;161,9;89,1;Gastronomie
1994;2;Restaurants / Cafe;116,2;163,1;89,9;Gastronomie
1994;3;Restaurants / Cafe;119,2;168,7;91,4;Gastronomie
1994;4;Restaurants / Cafe;122;172,1;94;Gastronomie
1994;5;Restaurants / Cafe;124,8;174,9;96,9;Gastronomie
1994;6;Restaurants / Cafe;124,1;174,7;95,8;Gastronomie
1994;7;Restaurants / Cafe;124,5;174,1;96,9;Gastronomie
1994;8;Restaurants / Cafe;124,7;173,6;97,5;Gastronomie
1994;9;Restaurants / Cafe;124,4;173,7;96,9;Gastronomie
1994;10;Restaurants / Cafe;122,4;170,5;95,5;Gastronomie
1994;11;Restaurants / Cafe;118,7;164,1;93,3;Gastronomie
1994;12;Restaurants / Cafe;119,2;162,8;94,7;Gastronomie
1994;1;Caterer;82,2;115,6;60,1;Gastronomie
1994;2;Caterer;82;116,1;59,3;Gastronomie
1994;3;Caterer;81,9;116,1;59,3;Gastronomie
1994;4;Caterer;82,8;116,2;60,5;Gastronomie
1994;5;Caterer;84;116,9;62,1;Gastronomie
1994;6;Caterer;86,6;117,2;66,6;Gastronomie
1994;7;Caterer;83,7;117,1;61,2;Gastronomie
1994;8;Caterer;84,1;117,2;61,8;Gastronomie
1994;9;Caterer;84,1;117,7;61,8;Gastronomie
1994;10;Caterer;84,3;117,8;62,1;Gastronomie
1994;11;Caterer;85,1;117,5;63,6;Gastronomie
1994;12;Caterer;85,2;116,9;64,3;Gastronomie
1994;1;Bar;140,3;221,7;116,2;Gastronomie
1994;2;Bar;141,7;222,7;117,8;Gastronomie
1994;3;Bar;142,3;224,9;117,8;Gastronomie
1994;4;Bar;143,4;226,3;118,9;Gastronomie
1994;5;Bar;144,2;227,9;119,6;Gastronomie
1994;6;Bar;144,9;229,3;119,9;Gastronomie
