Jahr;Monat;Branche_Code;Branche_Label;Arbeitnehmer;Eröffnet;Abgelehnt;Total
2013;1;WZ08-56;Bars & Clubs;202;62;21;83
2013;2;WZ08-56;Bars & Clubs;204;65;14;79
2013;3;WZ08-56;Bars & Clubs;127;70;15;85
2013;4;WZ08-56;Bars & Clubs;146;60;19;79
2013;5;WZ08-56;Bars & Clubs;91;37;11;48
2013;7;WZ08-56;Bars & Clubs;93;37;15;52
2013;8;WZ08-56;Bars & Clubs;175;57;4;61
2013;9;WZ08-56;Bars & Clubs;98;45;17;62
2013;10;WZ08-56;Bars & Clubs;105;44;15;59
2013;11;WZ08-56;Bars & Clubs;78;59;13;72
2013;12;WZ08-56;Bars & Clubs;58;42;14;56
2013;1;WZ08-56;Caterer;42;11;1;12
2013;2;WZ08-56;Caterer;17;12;2;14
2013;3;WZ08-56;Caterer;43;11;4;15
2013;4;WZ08-56;Caterer;30;12;2;14
2013;5;WZ08-56;Caterer;514;8;4;12
2013;7;WZ08-56;Caterer;51;11;7;18
2013;8;WZ08-56;Caterer;93;15;7;22
2013;9;WZ08-56;Caterer;64;10;1;11
2013;10;WZ08-56;Caterer;24;9;4;13
2013;11;WZ08-56;Caterer;31;6;4;10
2013;12;WZ08-56;Caterer;47;8;2;10
2013;1;WZ08-55;Hotels;264;41;15;56
2013;2;WZ08-55;Hotels;479;26;8;34
2013;3;WZ08-55;Hotels;182;54;9;63
2013;4;WZ08-55;Hotels;209;44;23;67
2013;5;WZ08-55;Hotels;1284;38;0;38
2013;7;WZ08-55;Hotels;450;47;10;57
2013;8;WZ08-55;Hotels;92;32;9;41
2013;9;WZ08-55;Hotels;283;40;12;52
2013;10;WZ08-55;Hotels;179;30;8;38
2013;11;WZ08-55;Hotels;234;46;6;52
2013;12;WZ08-55;Hotels;99;17;11;28
2013;1;WZ08-56;Restaurants & Cafes;1143;380;108;488
2013;2;WZ08-56;Restaurants & Cafes;918;304;73;377
2013;3;WZ08-56;Restaurants & Cafes;769;310;97;407
2013;4;WZ08-56;Restaurants & Cafes;1141;323;87;410
2013;5;WZ08-56;Restaurants & Cafes;1224;327;99;426
2013;7;WZ08-56;Restaurants & Cafes;1494;448;61;509
2013;8;WZ08-56;Restaurants & Cafes;1072;312;110;422
2013;9;WZ08-56;Restaurants & Cafes;993;273;94;367
2013;10;WZ08-56;Restaurants & Cafes;1289;316;105;421
2013;11;WZ08-56;Restaurants & Cafes;1083;282;75;357
2013;12;WZ08-56;Restaurants & Cafes;1237;235;91;326
2014;1;WZ08-56;Bars & Clubs;189;47;15;62
2014;2;WZ08-56;Bars & Clubs;122;40;20;60
2014;3;WZ08-56;Bars & Clubs;139;52;19;71
2014;4;WZ08-56;Bars & Clubs;139;52;19;71
2014;5;WZ08-56;Bars & Clubs;50;42;9;51
2014;6;WZ08-56;Bars & Clubs;50;30;2;32
2014;7;WZ08-56;Bars & Clubs;187;63;13;76
2014;8;WZ08-56;Bars & Clubs;196;54;19;73
2014;9;WZ08-56;Bars & Clubs;141;53;9;62
2014;10;WZ08-56;Bars & Clubs;53;28;14;42
2014;11;WZ08-56;Bars & Clubs;76;41;8;49
2014;12;WZ08-56;Bars & Clubs;169;31;22;53
2014;1;WZ08-56;Caterer;39;12;2;14
2014;2;WZ08-56;Caterer;315;8;3;11
2014;3;WZ08-56;Caterer;66;13;2;15
2014;4;WZ08-56;Caterer;66;13;2;15
2014;5;WZ08-56;Caterer;106;11;4;15
2014;6;WZ08-56;Caterer;45;8;;8
2014;7;WZ08-56;Caterer;44;10;7;17
2014;8;WZ08-56;Caterer;27;8;2;10
2014;9;WZ08-56;Caterer;4;3;1;4
2014;10;WZ08-56;Caterer;121;7;3;10
2014;11;WZ08-56;Caterer;45;13;1;14
2014;12;WZ08-56;Caterer;45;9;5;14
2014;1;WZ08-55;Hotels;124;19;5;24
2014;2;WZ08-55;Hotels;80;39;6;45
2014;3;WZ08-55;Hotels;386;49;3;52
2014;4;WZ08-55;Hotels;386;49;3;52
2014;5;WZ08-55;Hotels;184;12;3;15
2014;6;WZ08-55;Hotels;228;22;11;33
2014;7;WZ08-55;Hotels;484;30;14;44
2014;8;WZ08-55;Hotels;210;21;;21
2014;9;WZ08-55;Hotels;72;27;5;32
2014;10;WZ08-55;Hotels;40;20;3;23
2014;11;WZ08-55;Hotels;163;26;19;45
2014;12;WZ08-55;Hotels;197;36;3;39
2014;1;WZ08-56;Restaurants & Cafes;1981;302;72;374
2014;2;WZ08-56;Restaurants & Cafes;1100;290;97;387
2014;3;WZ08-56;Restaurants & Cafes;1101;295;90;385
2014;4;WZ08-56;Restaurants & Cafes;1101;295;90;385
2014;5;WZ08-56;Restaurants & Cafes;1387;317;111;428
2014;6;WZ08-56;Restaurants & Cafes;726;244;70;314
2014;7;WZ08-56;Restaurants & Cafes;793;287;133;420
2014;8;WZ08-56;Restaurants & Cafes;923;294;135;429
2014;9;WZ08-56;Restaurants & Cafes;1313;316;86;402
2014;10;WZ08-56;Restaurants & Cafes;1720;362;120;482
2014;11;WZ08-56;Restaurants & Cafes;916;300;109;409
2014;12;WZ08-56;Restaurants & Cafes;1412;304;100;404
2015;1;WZ08-56;Bars & Clubs;176;51;25;76
2015;2;WZ08-56;Bars & Clubs;254;65;16;81
2015;3;WZ08-56;Bars & Clubs;119;43;17;60
2015;4;WZ08-56;Bars & Clubs;25;40;4;44
2015;5;WZ08-56;Bars & Clubs;50;42;14;56
2015;6;WZ08-56;Bars & Clubs;144;57;25;82
2015;7;WZ08-56;Bars & Clubs;72;63;19;82
2015;8;WZ08-56;Bars & Clubs;25;28;10;38
2015;9;WZ08-56;Bars & Clubs;108;40;7;47
2015;10;WZ08-56;Bars & Clubs;115;40;12;52
2015;11;WZ08-56;Bars & Clubs;80;43;18;61
2015;12;WZ08-56;Bars & Clubs;54;55;9;64
2015;1;WZ08-56;Caterer;157;7;2;9
2015;2;WZ08-56;Caterer;40;8;5;13
2015;3;WZ08-56;Caterer;6;9;4;13
2015;4;WZ08-56;Caterer;58;8;8;16
2015;5;WZ08-56;Caterer;34;9;4;13
2015;6;WZ08-56;Caterer;18;8;2;10
2015;7;WZ08-56;Caterer;72;13;2;15
2015;8;WZ08-56;Caterer;41;3;1;4
2015;9;WZ08-56;Caterer;87;7;3;10
2015;10;WZ08-56;Caterer;29;11;2;13
2015;11;WZ08-56;Caterer;30;6;3;9
2015;12;WZ08-56;Caterer;13;7;3;10
2015;1;WZ08-55;Hotels;87;23;12;35
2015;2;WZ08-55;Hotels;355;47;9;56
2015;3;WZ08-55;Hotels;413;40;6;46
2015;4;WZ08-55;Hotels;585;60;8;68
2015;5;WZ08-55;Hotels;357;22;2;24
2015;6;WZ08-55;Hotels;500;36;17;53
2015;7;WZ08-55;Hotels;258;27;7;34
2015;8;WZ08-55;Hotels;198;37;5;42
2015;9;WZ08-55;Hotels;37;17;6;23
2015;10;WZ08-55;Hotels;316;37;6;43
2015;11;WZ08-55;Hotels;136;23;26;49
2015;12;WZ08-55;Hotels;252;36;11;47
2015;1;WZ08-56;Restaurants & Cafes;1550;275;90;365
2015;2;WZ08-56;Restaurants & Cafes;1462;282;72;354
2015;3;WZ08-56;Restaurants & Cafes;1133;302;83;385
2015;4;WZ08-56;Restaurants & Cafes;1059;262;83;345
2015;5;WZ08-56;Restaurants & Cafes;699;258;89;347
2015;6;WZ08-56;Restaurants & Cafes;1007;364;84;448
2015;7;WZ08-56;Restaurants & Cafes;1363;309;108;417
2015;8;WZ08-56;Restaurants & Cafes;933;365;78;443
2015;9;WZ08-56;Restaurants & Cafes;1124;303;66;369
2015;10;WZ08-56;Restaurants & Cafes;1309;342;90;432
2015;11;WZ08-56;Restaurants & Cafes;1060;293;107;400
2015;12;WZ08-56;Restaurants & Cafes;1355;313;92;405
2016;1;WZ08-56;Bars & Clubs;94;38;4;42
2016;2;WZ08-56;Bars & Clubs;102;40;17;57
2016;3;WZ08-56;Bars & Clubs;58;22;16;38
2016;4;WZ08-56;Bars & Clubs;18;57;23;80
2016;5;WZ08-56;Bars & Clubs;137;37;16;53
2016;6;WZ08-56;Bars & Clubs;171;45;20;65
2016;7;WZ08-56;Bars & Clubs;71;45;12;57
2016;8;WZ08-56;Bars & Clubs;98;37;21;58
2016;9;WZ08-56;Bars & Clubs;29;41;16;57
2016;10;WZ08-56;Bars & Clubs;47;51;8;59
2016;11;WZ08-56;Bars & Clubs;125;37;19;56
2016;12;WZ08-56;Bars & Clubs;63;32;14;46
2016;1;WZ08-56;Caterer;48;10;3;13
2016;2;WZ08-56;Caterer;2;7;3;10
2016;3;WZ08-56;Caterer;139;9;4;13
2016;4;WZ08-56;Caterer;12;9;7;16
2016;5;WZ08-56;Caterer;28;6;4;10
2016;6;WZ08-56;Caterer;35;12;6;18
2016;7;WZ08-56;Caterer;12;13;7;20
2016;8;WZ08-56;Caterer;106;18;3;21
2016;9;WZ08-56;Caterer;109;11;5;16
2016;10;WZ08-56;Caterer;59;8;2;10
2016;11;WZ08-56;Caterer;27;8;6;14
