Jahr;Monat;Branche_Label;Preisart;Umsatz;Typ
1994;1;Hotels;REAL;919;Beherbergung
1994;2;Hotels;REAL;972;Beherbergung
1994;3;Hotels;REAL;1106;Beherbergung
1994;4;Hotels;REAL;1159;Beherbergung
1994;5;Hotels;REAL;1368;Beherbergung
1994;6;Hotels;REAL;1328;Beherbergung
1994;7;Hotels;REAL;1264;Beherbergung
1994;8;Hotels;REAL;1322;Beherbergung
1994;9;Hotels;REAL;1556;Beherbergung
1994;10;Hotels;REAL;1466;Beherbergung
1994;11;Hotels;REAL;108;Beherbergung
1994;12;Hotels;REAL;1121;Beherbergung
1994;1;Ferienunterkünfte;REAL;973;Beherbergung
1994;2;Ferienunterkünfte;REAL;989;Beherbergung
1994;3;Ferienunterkünfte;REAL;1251;Beherbergung
1994;4;Ferienunterkünfte;REAL;1318;Beherbergung
1994;5;Ferienunterkünfte;REAL;1603;Beherbergung
1994;6;Ferienunterkünfte;REAL;1731;Beherbergung
1994;7;Ferienunterkünfte;REAL;191;Beherbergung
1994;8;Ferienunterkünfte;REAL;1792;Beherbergung
1994;9;Ferienunterkünfte;REAL;1703;Beherbergung
1994;10;Ferienunterkünfte;REAL;1528;Beherbergung
1994;11;Ferienunterkünfte;REAL;953;Beherbergung
1994;12;Ferienunterkünfte;REAL;1016;Beherbergung
1994;1;Campingplätze;REAL;684;Beherbergung
1994;2;Campingplätze;REAL;522;Beherbergung
1994;3;Campingplätze;REAL;818;Beherbergung
1994;4;Campingplätze;REAL;1194;Beherbergung
1994;5;Campingplätze;REAL;997;Beherbergung
1994;6;Campingplätze;REAL;8347;Beherbergung
1994;7;Campingplätze;REAL;1419;Beherbergung
1994;8;Campingplätze;REAL;1237;Beherbergung
1994;9;Campingplätze;REAL;636;Beherbergung
1994;10;Campingplätze;REAL;567;Beherbergung
1994;11;Campingplätze;REAL;348;Beherbergung
1994;12;Campingplätze;REAL;325;Beherbergung
1994;1;Restaurant /Cafe;REAL;1543;Gastronomie
1994;2;Restaurant /Cafe;REAL;1492;Gastronomie
1994;3;Restaurant /Cafe;REAL;1704;Gastronomie
1994;4;Restaurant /Cafe;REAL;1753;Gastronomie
1994;5;Restaurant /Cafe;REAL;1936;Gastronomie
1994;6;Restaurant /Cafe;REAL;1841;Gastronomie
1994;7;Restaurant /Cafe;REAL;1931;Gastronomie
1994;8;Restaurant /Cafe;REAL;1913;Gastronomie
1994;9;Restaurant /Cafe;REAL;1853;Gastronomie
1994;10;Restaurant /Cafe;REAL;1851;Gastronomie
1994;11;Restaurant /Cafe;REAL;1688;Gastronomie
1994;12;Restaurant /Cafe;REAL;1906;Gastronomie
1994;1;Caterer;REAL;879;Gastronomie
1994;2;Caterer;REAL;864;Gastronomie
1994;3;Caterer;REAL;999;Gastronomie
