Date;Inzidenz
2018-01-01;0
2020-06-01;4
2020-06-08;3
2020-06-15;3
2020-06-22;4
2020-06-29;4
2020-07-07;3
2020-07-13;3
2020-07-20;3
2020-07-27;4
2020-08-03;5
2020-08-10;7
2020-08-17;9
2020-08-24;11
2020-08-31;10
2020-09-07;9
2020-09-14;10
2020-09-21;13
2020-09-28;14
2020-10-05;17
2020-10-12;28
2020-10-19;45
2020-10-26;91
2020-11-02;120
2020-11-09;139
2020-11-16;143
2020-11-23;143
2020-11-30;138
2020-12-07;146
2020-12-08;147
2020-12-09;149
2020-12-10;149
2020-12-11;156
2020-12-12;163
2020-12-13;169
2020-12-14;176
2020-12-15;174
2020-12-16;180
2020-12-17;179
2020-12-18;185
2020-12-19;190
2020-12-20;192
2020-12-21;197
2020-12-22;198
2020-12-23;195
2020-12-24;196
2020-12-26;171
2020-12-27;161
2020-12-28;158
2020-12-29;149
2020-12-30;141
2020-12-31;140
2021-01-02;141
2021-01-03;140
2021-01-04;139
2021-01-05;135
2021-01-06;127
2021-01-07;122
2021-01-08;137
2021-01-09;154
2021-01-10;162
2021-01-11;167
2021-01-12;165
2021-01-13;155
2021-01-14;151
2021-01-15;146
2021-01-16;139
2021-01-17;136
2021-01-18;134
2021-01-19;132
2021-01-20;124
2021-01-21;119
2021-01-22;115
2021-01-23;113
2021-01-24;111
2021-01-25;111
2021-01-26;108
2021-01-27;101
2021-01-28;98
2021-01-29;94
2021-01-30;91
2021-01-31;90
2021-02-01;91
2021-02-02;90
2021-02-03;83
2021-02-04;81
2021-02-05;80
2021-02-06;77
2021-02-07;76
2021-02-08;76
2021-02-09;73
2021-02-10;68
2021-02-11;64
2021-02-12;62
2021-02-13;60
2021-02-14;57
2021-02-15;59
2021-02-16;59
2021-02-17;57
2021-02-18;57
2021-02-19;57
2021-02-20;58
2021-02-21;60
2021-02-22;61
2021-02-23;61
2021-02-24;59
2021-02-25;62
2021-02-26;63
2021-02-27;64
2021-02-28;64
2021-03-01;66
2021-03-02;65
2021-03-03;64
2021-03-04;65
2021-03-05;65
2021-03-06;66
2021-03-07;66
2021-03-08;68
2021-03-09;68
2021-03-10;65
2021-03-11;69
2021-03-12;72
2021-03-13;76
2021-03-14;79
2021-03-15;83
2021-03-16;84
2021-03-17;86
2021-03-18;90
2021-03-19;96
2021-03-20;100
2021-03-21;104
2021-03-22;107
2021-03-23;108
2021-03-24;108
2021-03-25;113
2021-03-26;119
2021-03-27;125
2021-03-28;130
2021-03-29;134
2021-03-30;135
2021-03-31;132
2021-04-01;134
2021-04-02;134
2021-04-03;131
2021-04-04;127
2021-04-05;128
2021-04-06;123
2021-04-07;110
2021-04-08;106
2021-04-09;110
2021-04-10;121
2021-04-11;129
2021-04-12;136
2021-04-13;141
2021-04-14;153
2021-04-15;160
2021-04-16;160
2021-04-17;161
2021-04-18;162
2021-04-19;165
2021-04-20;162
2021-04-21;160
2021-04-22;161
2021-04-23;164
2021-04-24;164
2021-04-25;166
2021-04-26;169
2021-04-27;168
2021-04-28;161
2021-04-29;155
2021-04-30;153
2021-05-01;149
2021-05-02;147
2021-05-03;147
2021-05-04;141
2021-05-05;133
2021-05-06;129
2021-05-07;126
2021-05-08;122
2021-05-09;119
2021-05-10;119
2021-05-11;115
2021-05-12;108
2021-05-13;104
2021-05-14;97
2021-05-15;87
2021-05-16;83
2021-05-17;83
2021-05-18;80
2021-05-19;73
2021-05-20;68
2021-05-21;67
2021-05-22;67
2021-05-23;64
2021-05-24;63
2021-05-25;58
2021-05-26;47
2021-05-27;41
2021-05-28;40
2021-05-29;37
2021-05-30;35
2021-05-31;35
2021-06-01;35
2021-06-02;37
2021-06-03;34
2021-06-04;30
2021-06-05;26
2021-06-06;25
2021-06-07;24
2021-06-08;23
2021-06-09;21
2021-06-10;19
2021-06-11;19
2021-06-12;18
2021-06-13;17
2021-06-14;17
2021-06-15;16
2021-06-16;13
2021-06-17;12
2021-06-18;10
2021-06-19;10
2021-06-20;9
2021-06-21;9
2021-06-22;8
2021-06-23;7
2021-06-24;7
2021-06-25;6
2021-06-26;6
2021-06-27;6
2021-06-28;6
2021-06-29;5
2021-06-30;5
2021-07-01;5
2021-07-02;5
2021-07-05;5
2021-07-06;5
2021-07-07;5
2021-07-08;5
2021-07-09;6
2021-07-12;6
2021-07-13;7
2021-07-14;7
2021-07-15;8
2021-07-16;9
2021-07-19;10
2021-07-20;11
2021-07-21;11
2021-07-22;12
2021-07-23;13
2021-07-26;14
2021-07-27;15
2021-07-28;15
2021-07-29;16
2021-07-30;17
2021-08-02;18
2021-08-03;18
2021-08-04;19
2021-08-05;19
2021-08-06;20
2021-08-09;23
2021-08-10;24
2021-08-11;25
2021-08-12;28
2021-08-13;30
2021-08-16;36
2021-08-17;37
2021-08-18;41
2021-08-19;44
2021-08-20;49
2021-08-23;56
2021-08-24;58
2021-08-25;61
2021-08-26;66
2021-08-27;70
2021-08-30;76
2021-08-31;75
2021-09-01;76
2021-09-02;77
2021-09-03;80
2021-09-06;84
2021-09-07;84
2021-09-08;83
2021-09-09;84
2021-09-10;84
2021-09-13;82
2021-09-14;81
2021-09-15;78
2021-09-16;76
2021-09-17;75
2021-09-18;72
2021-09-19;71
2021-09-20;71
2021-09-21;69
2021-09-22;65
2021-09-23;63
2021-09-24;63
2021-09-27;62
2021-09-28;60
2021-09-29;61
2021-09-30;63
2021-10-01;64
2021-10-04;65
2021-10-05;64
2021-10-06;62
2021-10-07;63
2021-10-08;64
2021-10-11;67
2021-10-12;66
2021-10-13;65
2021-10-14;67
2021-10-15;69
2021-10-18;74
2021-10-19;75
2021-10-20;80
2021-10-21;86
2021-10-22;95
2021-10-25;110
2021-10-26;113
2021-10-27;118
2021-10-28;130
2021-10-29;139
2021-11-01;155
2021-11-02;154
2021-11-03;147
