Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;UNT003__Unternehmen__Anzahl;RSF101__RSF__Unternehmen__Prozent;ENH001__Oertliche_Einheiten__Anzahl;RSF102__RSF__Oertliche_Einheiten__Prozent;ERW012__Beschaeftigte__Anzahl;ERW005__Arbeitnehmer__Anzahl;RSF002__RSF__Arbeitnehmer__Prozent;ERW014__Teilzeitbeschaeftigte__Anzahl;UMS002__Umsatz__Mill._EUR;RSF104__RSF__Umsatz__Prozent;UMS049__Umsatz_je_Unternehmen__Tsd._EUR;UMS051__Umsatz_je_Beschaeftigten__Tsd._EUR;UMS056__Umsatz_aus_ECommerce__Prozent;ERT005__Sonstige_betriebliche_Ertraege__Mill._EUR;SUB001__Subventionen__Mill._EUR;BST021__Warenbestaende_am_Anfang_des_Jahres__Mill._EUR;BST022__Warenbestaende_am_Ende_des_Jahres__Mill._EUR;ETG008__Entgelte__Mill._EUR;RSF008__RSF__Entgelte__Prozent;INV018__Bruttoinvestitionen_in_Sachanlagen__Mill._EUR;RSF106__RSF__Bruttoinvestitionen_in_Sachanlagen__Prozent;ERT004__Rohertragsquote__Prozent;AUFW01__Aufwendungen__Mill._EUR;ERT003__Rohertrag__Mill._EUR;PRO013__Produktionswert__Mill._EUR;PRO018__Produktionswert_(Anteil_am_Umsatz)__Prozent;BWS003__Bruttowertschoepfung_zu_Faktorkosten__Mill._EUR;RSF107__RSF__BWS_zu_Faktorkosten__Prozent;BWS009__BWS_zu_Faktorkosten_(Anteil_am_Umsatz)__Prozent;BBU001__Bruttobetriebsueberschuss__Mill._EUR;BBU002__Bruttobetriebsueberschuss_(Anteil_am_Umsatz)__Prozent
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855;Beherbergung;38468;;42129;;363653;317447;;124856;15954;;415;44;2,7;385;59;290;310;3871;;860;;80,3;12974;12805;14973;93,8;8212;;51,5;3444;21,6
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ08551;Hotels, Gasthöfe und Pensionen;31462;;34599;;329942;291396;;112688;14600;;464;44;2,6;344;33;256;276;3548;;732;;80,0;11936;11683;13664;93,6;7433;;50,9;3061;21,0
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855101;Hotels (ohne Hotels garnis);10180;;12547;;202900;190203;;55647;10232;;1005;50;2,8;282;13;183;186;2653;;517;;80,8;8667;8268;9725;95,1;5124;;50,1;1863;18,2
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855102;Hotels garnis;6079;;6293;;35783;29101;;14089;1473;;242;41;4,4;22;11;13;14;319;;56;;87,7;1109;1291;1404;95,3;788;;53,5;397;27,0
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855103;Gasthöfe;11224;;11738;;77464;62673;;38054;2418;;215;31;0,6;33;8;51;66;504;;117;;71,6;1848;1731;2092;86,5;1254;;51,9;625;25,9
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855104;Pensionen;3978;;4021;;13795;9418;;4898;477;;120;35;2,3;8;2;9;10;72;;43;;82,4;312;393;443;92,9;266;;55,9;175;36,8
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ08552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;5102;;5485;;24624;19123;;8740;941;;185;38;5,1;16;12;26;26;238;;82;;82,8;741;779;900;95,6;521;;55,4;230;24,4
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855201;Erholungs und Ferienheime;363;;390;;6770;6311;;3371;281;;775;42;0,2;7;6;6;6;91;;20;;79,1;259;222;267;94,8;148;;52,6;34;12,2
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855202;Ferienzentren;55;;84;;2686;2653;;1100;157;;2850;58;8,0;3;0;2;3;37;;11;;83,7;135;131;151;96,3;70;;44,7;25;15,6
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855203;Ferienhäuser und Ferienwohnungen;4413;;4676;;12573;7789;;3040;402;;91;32;4,8;6;1;17;17;81;;40;;85,8;273;345;388;96,6;235;;58,5;136;33,8
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ0855204;Jugendherbergen und Hütten;271;;335;;2594;2370;;1229;102;;375;39;15,2;1;6;1;1;29;;12;;79,5;74;81;94;92,4;69;;67,6;35;34,3
45342;Jahresstatistik im Gastgewerbe;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;WZ08G1;WZ2008 (ausgewählte Positionen): Gastgewerbe;WZ08553;Campingplätze;967;;1032;;5726;4632;;2428;289;;298;50;1,6;4;0;6;6;48;;31;;86,9;182;251;274;94,9;170;;59,0;110;38,3
