Jahr;Monat;Branche_Code;Branche_Label;BetriebeKurzarbeit;Kurzarbeiter
2013;1;WZ08-55;Beherbergung;18;122
2013;1;WZ08-56;Gastronomie;14;49
2013;2;WZ08-55;Beherbergung;20;102
2013;2;WZ08-56;Gastronomie;17;56
2013;3;WZ08-55;Beherbergung;18;85
2013;3;WZ08-56;Gastronomie;18;71
2013;4;WZ08-55;Beherbergung;16;67
2013;4;WZ08-56;Gastronomie;26;105
2013;5;WZ08-55;Beherbergung;10;82
2013;5;WZ08-56;Gastronomie;17;62
2013;6;WZ08-55;Beherbergung;68;602
2013;6;WZ08-56;Gastronomie;285;1626
2013;7;WZ08-55;Beherbergung;48;434
2013;7;WZ08-56;Gastronomie;145;603
2013;8;WZ08-55;Beherbergung;38;376
2013;8;WZ08-56;Gastronomie;109;530
2013;9;WZ08-55;Beherbergung;21;194
2013;9;WZ08-56;Gastronomie;61;209
2013;10;WZ08-55;Beherbergung;18;185
2013;10;WZ08-56;Gastronomie;54;249
2013;11;WZ08-55;Beherbergung;18;192
2013;11;WZ08-56;Gastronomie;43;146
2013;12;WZ08-55;Beherbergung;15;141
2013;12;WZ08-56;Gastronomie;24;86
2014;1;WZ08-55;Beherbergung;20;185
2014;1;WZ08-56;Gastronomie;32;225
2014;2;WZ08-55;Beherbergung;20;167
2014;2;WZ08-56;Gastronomie;32;173
2014;3;WZ08-55;Beherbergung;16;142
2014;3;WZ08-56;Gastronomie;33;220
2014;4;WZ08-55;Beherbergung;9;19
2014;4;WZ08-56;Gastronomie;21;170
2014;5;WZ08-55;Beherbergung;6;13
2014;5;WZ08-56;Gastronomie;17;140
2014;6;WZ08-55;Beherbergung;5;10
2014;6;WZ08-56;Gastronomie;20;200
2014;7;WZ08-55;Beherbergung;4;6
2014;7;WZ08-56;Gastronomie;20;138
2014;8;WZ08-55;Beherbergung;4;6
2014;8;WZ08-56;Gastronomie;21;166
2014;9;WZ08-55;Beherbergung;;
2014;9;WZ08-56;Gastronomie;19;124
2014;10;WZ08-55;Beherbergung;;33
2014;10;WZ08-56;Gastronomie;21;129
2014;11;WZ08-55;Beherbergung;;6
2014;11;WZ08-56;Gastronomie;20;178
2014;12;WZ08-55;Beherbergung;3;9
2014;12;WZ08-56;Gastronomie;16;145
2015;1;WZ08-55;Beherbergung;6;28
2015;1;WZ08-56;Gastronomie;16;106
2015;2;WZ08-55;Beherbergung;7;91
2015;2;WZ08-56;Gastronomie;23;171
2015;3;WZ08-55;Beherbergung;6;75
2015;3;WZ08-56;Gastronomie;15;84
2015;4;WZ08-55;Beherbergung;3;21
2015;4;WZ08-56;Gastronomie;18;127
2015;5;WZ08-55;Beherbergung;3;6
2015;5;WZ08-56;Gastronomie;18;70
2015;6;WZ08-55;Beherbergung;18;70
2015;6;WZ08-56;Gastronomie;23;150
2015;7;WZ08-55;Beherbergung;3;7
2015;7;WZ08-56;Gastronomie;20;69
2015;8;WZ08-55;Beherbergung;4;10
2015;8;WZ08-56;Gastronomie;22;75
2015;9;WZ08-55;Beherbergung;;5
2015;9;WZ08-56;Gastronomie;18;64
2015;10;WZ08-55;Beherbergung;4;16
2015;10;WZ08-56;Gastronomie;21;89
2015;11;WZ08-55;Beherbergung;6;24
2015;11;WZ08-56;Gastronomie;21;92
2015;12;WZ08-55;Beherbergung;7;24
2015;12;WZ08-56;Gastronomie;17;56
2016;1;WZ08-55;Beherbergung;8;28
2016;1;WZ08-56;Gastronomie;15;46
2016;2;WZ08-55;Beherbergung;10;95
2016;2;WZ08-56;Gastronomie;16;66
2016;3;WZ08-55;Beherbergung;9;89
2016;3;WZ08-56;Gastronomie;14;46
2016;4;WZ08-55;Beherbergung;5;71
2016;4;WZ08-56;Gastronomie;10;25
2016;5;WZ08-55;Beherbergung;3;96
2016;5;WZ08-56;Gastronomie;9;21
2016;6;WZ08-55;Beherbergung;6;116
2016;6;WZ08-56;Gastronomie;12;53
2016;7;WZ08-55;Beherbergung;8;90
2016;7;WZ08-56;Gastronomie;7;57
2016;8;WZ08-55;Beherbergung;7;66
2016;8;WZ08-56;Gastronomie;12;76
2016;9;WZ08-55;Beherbergung;7;66
2016;9;WZ08-56;Gastronomie;11;57
2016;10;WZ08-55;Beherbergung;5;49
2016;10;WZ08-56;Gastronomie;12;113
2016;11;WZ08-55;Beherbergung;5;53
2016;11;WZ08-56;Gastronomie;8;76
2016;12;WZ08-55;Beherbergung;5;55
2016;12;WZ08-56;Gastronomie;6;62
2017;1;WZ08-55;Beherbergung;3;65
2017;1;WZ08-56;Gastronomie;11;90
2017;2;WZ08-55;Beherbergung;;5
2017;2;WZ08-56;Gastronomie;14;95
2017;3;WZ08-55;Beherbergung;3;10
2017;3;WZ08-56;Gastronomie;14;85
2017;4;WZ08-55;Beherbergung;;8
2017;4;WZ08-56;Gastronomie;6;18
2017;5;WZ08-55;Beherbergung;;4
2017;5;WZ08-56;Gastronomie;6;22
2017;6;WZ08-55;Beherbergung;3;7
2017;6;WZ08-56;Gastronomie;6;16
2017;7;WZ08-55;Beherbergung;4;17
2017;7;WZ08-56;Gastronomie;7;28
2017;8;WZ08-55;Beherbergung;5;23
2017;8;WZ08-56;Gastronomie;7;19
2017;9;WZ08-55;Beherbergung;4;23
2017;9;WZ08-56;Gastronomie;9;22
2017;10;WZ08-55;Beherbergung;3;13
2017;10;WZ08-56;Gastronomie;7;17
2017;11;WZ08-55;Beherbergung;7;90
2017;11;WZ08-56;Gastronomie;3;7
2017;12;WZ08-55;Beherbergung;7;88
2017;12;WZ08-56;Gastronomie;3;8
2018;1;WZ08-55;Beherbergung;5;58
2018;1;WZ08-56;Gastronomie;12;141
2018;2;WZ08-55;Beherbergung;6;130
2018;2;WZ08-56;Gastronomie;10;130
2018;3;WZ08-55;Beherbergung;7;151
2018;3;WZ08-56;Gastronomie;13;142
2018;4;WZ08-55;Beherbergung;9;80
2018;4;WZ08-56;Gastronomie;9;113
2018;5;WZ08-55;Beherbergung;5;50
2018;5;WZ08-56;Gastronomie;10;119
2018;6;WZ08-55;Beherbergung;5;42
2018;6;WZ08-56;Gastronomie;18;163
2018;7;WZ08-55;Beherbergung;5;28
2018;7;WZ08-56;Gastronomie;18;140
2018;8;WZ08-55;Beherbergung;3;22
2018;8;WZ08-56;Gastronomie;15;135
2018;9;WZ08-55;Beherbergung;4;23
2018;9;WZ08-56;Gastronomie;11;93
2018;10;WZ08-55;Beherbergung;3;11
2018;10;WZ08-56;Gastronomie;9;87
2018;11;WZ08-55;Beherbergung;4;13
2018;11;WZ08-56;Gastronomie;7;30
2018;12;WZ08-55;Beherbergung;;
2018;12;WZ08-56;Gastronomie;6;18
2019;1;WZ08-55;Beherbergung;;7
2019;1;WZ08-56;Gastronomie;12;55
2019;2;WZ08-55;Beherbergung;;7
2019;2;WZ08-56;Gastronomie;13;56
2019;3;WZ08-55;Beherbergung;;8
2019;3;WZ08-56;Gastronomie;15;70
2019;4;WZ08-55;Beherbergung;;77
2019;4;WZ08-56;Gastronomie;6;43
2019;5;WZ08-55;Beherbergung;3;14
2019;5;WZ08-56;Gastronomie;13;83
2019;6;WZ08-55;Beherbergung;;3
2019;6;WZ08-56;Gastronomie;19;112
2019;7;WZ08-55;Beherbergung;3;4
2019;7;WZ08-56;Gastronomie;18;102
2019;8;WZ08-55;Beherbergung;3;9
2019;8;WZ08-56;Gastronomie;15;74
2019;9;WZ08-55;Beherbergung;3;13
2019;9;WZ08-56;Gastronomie;9;64
2019;10;WZ08-55;Beherbergung;4;12
2019;10;WZ08-56;Gastronomie;9;49
2019;11;WZ08-55;Beherbergung;;9
2019;11;WZ08-56;Gastronomie;6;15
2019;12;WZ08-55;Beherbergung;;10
2019;12;WZ08-56;Gastronomie;10;28
2020;1;WZ08-55;Beherbergung;5;26
2020;1;WZ08-56;Gastronomie;16;126
2020;2;WZ08-55;Beherbergung;7;41
2020;2;WZ08-56;Gastronomie;22;123
2020;3;WZ08-55;Beherbergung;13880;125232
2020;3;WZ08-56;Gastronomie;70871;364769
2020;4;WZ08-55;Beherbergung;19222;203331
2020;4;WZ08-56;Gastronomie;86478;462347
2020;5;WZ08-55;Beherbergung;19029;207889
2020;5;WZ08-56;Gastronomie;81226;427081
2020;6;WZ08-55;Beherbergung;14535;158575
2020;6;WZ08-56;Gastronomie;57021;287092
2020;7;WZ08-55;Beherbergung;11422;121020
2020;7;WZ08-56;Gastronomie;42527;200516
2020;8;WZ08-55;Beherbergung;9541;94046
2020;8;WZ08-56;Gastronomie;35353;159593
2020;9;WZ08-55;Beherbergung;8752;84548
2020;9;WZ08-56;Gastronomie;31038;137855
2020;10;WZ08-55;Beherbergung;9342;88415
2020;10;WZ08-56;Gastronomie;32432;147727
2020;11;WZ08-55;Beherbergung;15729;166702
2020;11;WZ08-56;Gastronomie;66519;328550
2020;12;WZ08-55;Beherbergung;17428;187220
2020;12;WZ08-56;Gastronomie;73253;362554
2021;1;WZ08-55;Beherbergung;18286;193866
2021;1;WZ08-56;Gastronomie;76486;381555
2021;2;WZ08-55;Beherbergung;18444;192781
2021;2;WZ08-56;Gastronomie;76431;379796
2021;3;WZ08-55;Beherbergung;18432;190743
2021;3;WZ08-56;Gastronomie;74644;363166
2021;4;WZ08-55;Beherbergung;18484;188260
2021;4;WZ08-56;Gastronomie;73240;352854
2021;5;WZ08-55;Beherbergung;17857;177510
2021;5;WZ08-56;Gastronomie;69110;326566
2021;6;WZ08-55;Beherbergung;12391;112966
2021;6;WZ08-56;Gastronomie;41041;178179
2021;7;WZ08-55;Beherbergung;7459;64132
2021;7;WZ08-56;Gastronomie;22121;94515
2021;8;WZ08-55;Beherbergung;5415;41555
2021;8;WZ08-56;Gastronomie;16492;69635
2021;9;WZ08-55;Beherbergung;4484;30288
2021;9;WZ08-56;Gastronomie;13463;55215
2021;10;WZ08-55;Beherbergung;3893;23230
2021;10;WZ08-56;Gastronomie;11047;44003
2021;11;WZ08-55;Beherbergung;4847;30082
2021;11;WZ08-56;Gastronomie;14757;65271
2021;12;WZ08-55;Beherbergung;8212;65602
2021;12;WZ08-56;Gastronomie;26568;125296
2022;1;WZ08-55;Beherbergung;10142;94365
2022;1;WZ08-56;Gastronomie;30560;149713
2022;2;WZ08-55;Beherbergung;10179;93678
2022;2;WZ08-56;Gastronomie;29628;143591
2022;3;WZ08-55;Beherbergung;8569;69948
2022;3;WZ08-56;Gastronomie;22166;98356
2022;4;WZ08-55;Beherbergung;4083;27005
2022;4;WZ08-56;Gastronomie;9302;38248
2022;5;WZ08-55;Beherbergung;1854;9471
2022;5;WZ08-56;Gastronomie;5018;19213
