Jahr;Monat;Branche_Code;Branche_Label;Umsatz;Veraenderung
2015;1;WZ08-55;Beherbergung;73.9;3.6
2015;1;WZ08-551;Hotels;74;3.1
2015;1;WZ08-552;Ferienunterkünfte;63.8;19.3
2015;1;WZ08-553;Campingplätze;99.9;-4.2
2015;1;WZ08-56;Gastronomie;84;1.8
2015;1;WZ08-561;Restaurants & Cafes;82.7;0.9
2015;1;WZ08-562;Caterer;88.3;4.7
2015;1;WZ08-563;Bars & Clubs;84.2;2.9
2015;2;WZ08-55;Beherbergung;77.2;5.8
2015;2;WZ08-551;Hotels;77.8;5.3
2015;2;WZ08-552;Ferienunterkünfte;70.2;17
2015;2;WZ08-553;Campingplätze;59.3;11.5
2015;2;WZ08-56;Gastronomie;82.7;1
2015;2;WZ08-561;Restaurants & Cafes;80.8;1.4
2015;2;WZ08-562;Caterer;89.5;1.2
2015;2;WZ08-563;Bars & Clubs;80.6;-1.2
2015;3;WZ08-55;Beherbergung;88.7;5.1
2015;3;WZ08-551;Hotels;89.3;4.4
2015;3;WZ08-552;Ferienunterkünfte;82.7;19.5
2015;3;WZ08-553;Campingplätze;70.5;6.8
2015;3;WZ08-56;Gastronomie;92.3;-1.1
2015;3;WZ08-561;Restaurants & Cafes;90.5;-2.6
2015;3;WZ08-562;Caterer;99;4.9
2015;3;WZ08-563;Bars & Clubs;88.7;-4.8
2015;4;WZ08-55;Beherbergung;91.9;4.9
2015;4;WZ08-551;Hotels;91.6;5.4
2015;4;WZ08-552;Ferienunterkünfte;95.5;3.2
2015;4;WZ08-553;Campingplätze;94;-10.8
2015;4;WZ08-56;Gastronomie;96.2;4.1
2015;4;WZ08-561;Restaurants & Cafes;96.4;3.5
2015;4;WZ08-562;Caterer;94.3;6.3
2015;4;WZ08-563;Bars & Clubs;99.4;3.6
2015;5;WZ08-55;Beherbergung;108.7;0.1
2015;5;WZ08-551;Hotels;108.6;-0.7
2015;5;WZ08-552;Ferienunterkünfte;111.2;6.5
2015;5;WZ08-553;Campingplätze;110.8;24.5
2015;5;WZ08-56;Gastronomie;106;3.6
2015;5;WZ08-561;Restaurants & Cafes;108.7;4.6
2015;5;WZ08-562;Caterer;96.7;1.5
2015;5;WZ08-563;Bars & Clubs;108.7;1
2015;6;WZ08-55;Beherbergung;113.1;8
2015;6;WZ08-551;Hotels;113;9.3
2015;6;WZ08-552;Ferienunterkünfte;114.3;-1.7
2015;6;WZ08-553;Campingplätze;118.2;-15.4
2015;6;WZ08-56;Gastronomie;104.1;5.2
2015;6;WZ08-561;Restaurants & Cafes;104;4.3
2015;6;WZ08-562;Caterer;105.8;10.7
2015;6;WZ08-563;Bars & Clubs;100.7;-2.2
2015;7;WZ08-55;Beherbergung;111.9;4.7
2015;7;WZ08-551;Hotels;108.8;4.6
