Jahr;Monat;Branche;Branche_Label;Preisart;Umsatz;Umsatz_Veraenderung
1994;1;WZ08-55;Beherbergung;REAL;92.3;0
1994;2;WZ08-55;Beherbergung;REAL;97;0
1994;3;WZ08-55;Beherbergung;REAL;111.3;0
1994;4;WZ08-55;Beherbergung;REAL;117.2;0
1994;5;WZ08-55;Beherbergung;REAL;138;0
1994;6;WZ08-55;Beherbergung;REAL;133.7;0
1994;7;WZ08-55;Beherbergung;REAL;130.8;0
1994;8;WZ08-55;Beherbergung;REAL;135.6;0
1994;9;WZ08-55;Beherbergung;REAL;155.6;0
1994;10;WZ08-55;Beherbergung;REAL;146;0
1994;11;WZ08-55;Beherbergung;REAL;106.5;0
1994;12;WZ08-55;Beherbergung;REAL;110.8;0
1994;1;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;91.9;0
1994;2;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;97.2;0
1994;3;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;110.6;0
1994;4;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;115.9;0
1994;5;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;136.8;0
1994;6;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;132.8;0
1994;7;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;126.4;0
1994;8;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;132.2;0
1994;9;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;155.6;0
1994;10;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;146.6;0
1994;11;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;108;0
1994;12;WZ08-551;Hotels, Gasthöfe und Pensionen;REAL;112.1;0
1994;1;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;97.3;0
1994;2;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;98.9;0
1994;3;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;125.1;0
1994;4;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;131.8;0
1994;5;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;160.3;0
1994;6;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;173.1;0
1994;7;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;191;0
1994;8;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;REAL;179.2;0
